"deduptitle"
"|aSymposium on YLID chemistry |aUniversity of Cincinnati.|bResearch Foundation"
"|aDas Buch der Natur :|bdie Lehren der Physik, Astronomie, Chemie, Minerologie, Geologie, Botanik, Physiologie und Zoologie umfassend /|cvon Friedrich Schoedler |aSchoedler, Friedrich,|d1813-1884 |a18., verm. und verb. Aufl"
"|aKurzgeschichte der chemie :|bmit 200 abbildungen /|cvon Fritz Ferchl und A Süssenguth ; herausgegeben durch die Gesellschaft für geschichte der pharmazie |aFerchl, Fritz"
"|aCasein and its industrial applications /|cby Edwin Stuermeister and Frederick L. Browne |aSutermeister, Edwin,|d1876- |a2d edition"
"|aThermochimie;|bdonnées et lois numériques,|cpar M. Berthelot .. |aBerthelot, M.|q(Marcellin),|d1827-1907"
"|aThe principles of inorganic chemistry,|cby Wilhelm Ostwald. Tr. with the author's sanction by Alexander Findlay ... With 122 figures in the text |aOstwald, Wilhelm,|d1853-1932"
"|aChemical spectroscopy,|cby Wallace R. Brode .. |aBrode, Wallace R.|q(Wallace Reed),|d1900-"
"|aDie elektrometrische (potentiometrische) massanalyse,|bmit 96 figuren im text,|cvon dr. Erich Müller |aMüller, Max Erich,|d1870- |a6. verb. und verm. aufl"
"|aThe theory of spectra and atomic constitution;|cthree essays by Niels Bohr .. |aBohr, Niels,|d1885-1962"
"|aHarvard case histories in experimental science /|cJames Bryant Conant, general editor [and others] |aConant, James Bryant,|d1893-1978"
"|aThe analysis of rubber,|cby John B. Tuttle |aTuttle, John Betley,|d1882-"
"|aTraité de chimie organique,|bpublié sous la direction|cde V. Grignard...[et] secrétaire générl̀ Paul Baud |aGrignard, Victor,|d1871-1935"
"|aThe University of Iowa and biochemistry from their beginnings /|cClarence P. Berg |aBerg, Clarence Peter,|d1900-"
"|aTabellarische Übersicht der Naphtalinderivate,|bauf Grundlage des Werkes: Sur la constitution de la naphtaline et de ses dérivés,|cpar F. Reverdin ... et E. Noelting ... im Jahre 1894 bearbeitet von F. Reverdin ... und H. Fulda ... Unter Berücksichtigung der neueren Litteratur bearbeitet von E.J. van der Kam .. |aReverdin, Frédéric"
"|aAntoine Laurent Lavoisier :|bthe investigator and his times, 1741-1794 /|cFerenc Szabadvary ; authorized translation from the German text by Ralph E. Oesper |aSzabadváry, Ferenc"
"|aDie chemische Analyse in der Stahlindustrie /|cBearb. von August Winkel |aWeihrich, Robert |a4. umgearb. und erweiterte Aufl"
"|aThe parachor and valency |aSugden, S.|q(Samuel)"
"|aAntique scientific instruments /|cGerard L'E. Turner |aTurner, Gerard L'Estrange"
"|aThe Raman effect and its chemical applications /|cby James H. Hibben ; with a theoretical discussion by James H. Hibben and Edward Teller |aHibben, James Herbert,|d1896-"
"|aText-book of medical chemistry for medical and pharmaceutical students and practitioners |aBartley, Elias Hudson,|d1849-1937 |a3d ed., rev. and enl"
"|aAugustine to Galileo /|cA. C. Crombie |aCrombie, A. C.|q(Alistair Cameron),|d1915- |a2d rev. and enl. ed"
"|aEstimation of organic compounds /|cby F. Wild |aWild, F.|q(Frank)"
"|aConcepts and models of inorganic chemistry|c[by] Bodie E. Douglas [and] Darl H. McDaniel |aDouglas, Bodie Eugene,|d1924-"
"|aAn introduction to chromatography |aWilliams, Trevor Illtyd"
"|aThe chemistry of the polysaccharides |aMcIlroy, Robert Joseph"
"|aIntroduction to chemical principles |aPeters, Edward I |a6th ed. /|bEdward I. Peters, Robert C. Kowerski"
"|aThe spirit of organic chemistry;|ban introduction to the current literature of the subject,|cby Arthur Lachman; with an introduction by Paul C. Freer |aLachman, Arthur,|d1873-"
"|aRecherches physico-chimiques,|bfaites sur la pile; sur la préparation chimique et les properiétés du potassium et du sodium; sur la décomposition de l'acide boracique; sur les acides fluorique, muriatique et muriatique oxigéné; sur l'action chimique de la lumière; sur l'analyse végétale et animale, etc,|cpar mm. Gay-Lussac et Thénard ... Avec six planches en taille-douce .. |aGay-Lussac, Joseph Louis,|d1778-1850"
"|aPhotochimie,|cpar A. Berthoud ... Avec 12 figures dans le texte |aBerthoud, A.|q(Alfred),|d1874-1939"
"|aPrinciples and practice of chromatography,|cby Prof. L. Zechmeister ... and Dr. L. Cholnoky ... translated from the second and enlarged German edition by A.L. Bacharach ... and F.A. Robinson ... with a foreword by Prof. I.M. Heilbron . |aZechmeister, L.|q(László),|d1889- |aChromatographische Adsorptionsmethode |a2d impression (corr. and with supplementary bibliography)"
"|aA brief history [of] the Analytical Chemistry Division of Oak Ridge National Laboratory, 1950-1990 /|cby W.S. Lyon with W.D. Shults ; and Carolyn Coleman, editor |aLyon, W. S.|q(William S.)"
"|aColloid chemistry /|cby Arthur W. Thomas |aThomas, Arthur Waldorf Spittell,|d1891- |a1st ed"
"|aNuclear physics |aGreen, Alex Edward Samuel,|d1919-"
"|aNaturhistorisch-biographische essays,|cvon dr. A. Bauer |aBauer, Alexander Anton Emil,|d1836-1921"
"|aAbriss eines lehrganges der theoretischen chemie,|cvorgetragen an der K. Universität Genua von prof. S. Cannizzaro. (1858) Uebers. von dr. Arthur Miolati ... Hrsg. von Lothar Meyer |aCannizzaro, Stanislao,|d1826-1910"
"|aThe history of acid-base theory /|cby Aaron J. Ihde |aIhde, Aaron John,|d1909-"
"|aLife during a golden age of peptide chemistry :|bthe concept and development of solid-phase peptide synthesis /|cBruce Merrifield |aMerrifield, Bruce,|d1921 Jul. 15-"
"|aA time to remember :|bthe autobiography of a chemist /|cAlexander Todd |aTodd, Alexander R.|q(Alexander Robertus),|d1907-"
"|aMy life :|brecollections of a Nobel laureate /|cMax Born |aBorn, Max,|d1882-1970"
"|aSpot tests in organic analysis.|cTranslated by Ralph E. Oesper |aFeigl, Fritz,|d1891-1971 |a6th, enl. and rev. English ed"
"|aThree centuries of chemistry;|bphases in the growth of a science,|cby Irvine Masson .. |aMasson, Irvine,|cSir,|d1887-"
"|aLa Chimie physique et ses applications.|bHuit Leçons faites sur l'invitation de l'Université de Chicago du 20 au 24 Juin 1901|cpar J.H. Van't Hoff. Ouvrage traduit ... par A. Corvisy |aHoff, J. H. van 't|q(Jacobus Henricus),|d1852-1911"
"|aExperimental organic chemistry,|cby James F. Norris |aNorris, James F.|q(James Flack),|d1871-1940 |a2d ed"
"|aHenry Le Chatelier,|bun grand savant d'hier, un précurseur, sa vie, son oeuvre, son temps |aLe Chatelier, François"
"|aAn attempt to establish the first principles of chemistry by experiment /|cby Thomas Thomson |aThomson, Thomas,|d1773-1852"
"|aFinden und Forschen in der älteren Chemie bis zur Phlogistontheorie von Stahl,|cvon K. A. Hofmann |aHofmann, Karl,|d1870-1940"
"|aTextbook of quantitative inorganic analysis,|cby I.M. Kolthoff ... and E.B. Sandell . |aKolthoff, I. M.|q(Izaak Maurits),|d1894-"
"|aAngewandte elektrochemie |aPeters, Franz,|d1819-1879"
"|aThe life and discoveries of Michael Faraday,|cby J. A. Crowther |aCrowther, James Arnold,|d1883-"
"|aThe Prof in two worlds;|bthe official life of Professor F.A. Lindemann, Viscount Cherwell |aBirkenhead, Frederick Winston Furneaux Smith,|cEarl of,|d1907-1975"
"|aFrom the letter-files of S. W. Johnson :|bprofessor of agricultural chemistry in Yale university, 1856-1896, director of the Connecticut agricultural experiment station, 1877-1900 /|ced. by his daughter Elizabeth A. Osborne |aJohnson, Samuel W.|q(Samuel William),|d1830-1909"
"|aRecent advances in physical chemistry,|cby Samuel Glasstone |aGlasstone, Samuel,|d1897-1986 |a2d ed.|bwith 33 illustrations"
"|aKurze Geschichte der Katalyse in praxis und theorie,|cvon Alwin Mittasch |aMittasch, Alwin,|d1869-1953"
"|aFifty years of X-ray diffraction.|bDedicated to the International Union of Crystallography on the occasion of the commemoration meeting in Munich, July 1962,|cby P.P. Ewald, editor, and numerous crystallographers |aEwald, Peter Paul,|d1888-"
"|aGeneral chemistry|c[by] Theodore L. Brown |aBrown, Theodore L |a2d ed"
"|aA manual of plastics and resins,|bin encyclopedia form;|cedited by William Shack with the cooperation of members of the Society of Plastics Engineers. Advisory board: Rusrell B. Akin [and others]"
"|aHistory of valency /|bColin A. Russell |aRussell, Colin Archibald"
"|aReminiscences and reflections /|cHans Krebs ; in collaboration with Anne Martin |aKrebs, Hans Adolf,|cSir"
"|aChemie /|cMartin Heinrich Klaproth ; nach der Abschrift von Arthur Schopenhauer, nebst dessen Randbemerkungen, Winter 1811/12 ; bearbeitet und herausgegeben von Brita Engel |aKlaproth, M. H.|q(Martin Heinrich),|d1743-1817"
"|aA text-book of inorganic chemistry /|cedited by J. Newton Friend"
"|aPhoto-processes in gaseous and liquid systems /by R.O. Griffith and A. McKeown ; with fifty-two diagrams |aGriffith, R. O.|q(Robert Owen)"
"|aThe life of Robert Hare :|ban American chemist (1781-1858) /|cby Edgar Fahs Smith ; with a portrait in color and four doubletones |aSmith, Edgar F.|q(Edgar Fahs),|d1854-1928"
"|aThe Queen catalogues /|cJames W. Queen & Co. ; with a new introduction by Deborah Jean Warner"
"|aThe problem of physico-chemical periodicity,|cby E. S. Hedges and J. E. Myers with a foreword by Professor F. G. Donnan |aHedges, E. S.|q(Ernest Sydney)"
"|a...Das relativitätsprinzip;|beine sammlung von abhandlungen,|cmit einem beitrag von H. Weyl und anmerkungen von A. Sommerfeld, vorwort von O. Blumenthal |aLorentz, H. A.|q(Hendrik Antoon),|d1853-1928 |a4., verm. aufl"
"|aChemistry: a basic approach|c[by] B. Richard Siebring [and] Mary Ellen Schaff |aSiebring, B. Richard"
"|aDie chemie der zuckerarten,|cvon Prof. Dr. Edmund O. von Lippmann .. |aLippmann, Edmund O. von|q(Edmund Oskar),|d1857-1940 |a3. völlig umgearb. Aufl. der vom Vereine für die rübenzucker-industrie des Deutschen Reiches mit dem ersten preise gekrönten schrift, Die zuckerarten und ihre derivate"
"|aConduction of electricity through gases,|cby J. J. Thomson |aThomson, J. J.|q(Joseph John),|cSir,|d1856-1940 |a2d ed"
"|aEdward Frankland :|bchemistry, controversy, and conspiracy in Victorian England /|cColin A. Russell |aRussell, Colin Archibald"
"|aColorimetric methods of analysis :|bincluding some turbidimetric and nephelometric methods /|cby Foster Dee Smell and Cornelia T. Snell |aSnell, Foster Dee,|d1898-"
"|aResearches, chemical and philosophical; chiefly concerning nitrous oxide,|bor dephlogisticated nitrous air, and its respiration.|cBy Humphry Davy .. |aDavy, Humphry,|cSir,|d1778-1829"
"|aDoctors and the law :|bmedical jurisprudence in nineteenth-century America /|cJames C. Mohr |aMohr, James C"
"|aFixation of atmospheric nitrogen,|cby Frank A. Ernst |aErnst, Frank Arthur,|d1892-"
"|aFluorescence analysis in ultra-violet light,|cby J.A. Radley  and Julius Grant |aRadley, J. A.|q(Jack Augustus) |a[3d ed.]"
"|aThomas Edison, chemist|c[by] Byron M. Vanderbilt |aVanderbilt, Byron Michael,|d1906-"
"|aAlchemy and chemistry in the seventeenth century;|cpapers read by Allen G. Debus and Robert P. Multhauf at a Clark Library seminar, March 12, 1966 |aDebus, Allen G"
"|aCrystal growth |aBuckley, Harold Eugene,|d1897-"
"|aIsaac Newton und seine physikalischen principien.|bEin huaptstück aus der entwickelungsgeschichte der modernen physik,|cvon prof. dr. Ferd. Rosenberger |aRosenberger, Ferdinand,|d1845-1899 |aMit 25 abbildungen"
"|aA system of instruction in quantitative chemical analysis /|cby Dr. C. Remigius Fresenius . |aFresenius, C. Remigius,|d1818-1897 |a4th ed. Ed. by J. Lloyd Bullock, F.C.S. and Arthur Vacher"
"|aThudichum, chemist of the brain /|cby David L. Drabkin |aDrabkin, David L.|q(David Lion),|d1899-"
"|aElements of chemistry,|btheoretical and practical.|cBy D.B. Reid |aReid, D. B.|q(David Boswell),|d1805-1863 |a3d ed"
"|aRussia's Lomonosov;|bchemist, courtier, physicist, poet,|cby Boris N. Menshutkin. [Translated from the Russian by Jeanette Eyre Thal and Edward J. Webster under the direction of W. Chapin Huntington] |aMenshutkin, B. N.|q(Boris Nikolaevich),|d1874-1938"
"|aElectron optics and the electron microscope,|cby V. K. Zworykin, G. A. Morton, E. G. Ramberg [and others]"
"|aThe chemical analysis of foods and food products /|cby Morris B. Jacobs |aJacobs, Morris B.|q(Morris Boris),|d1905-1965 |a3rd ed"
"|aLinus Pauling :|ba life in science and politics /|cTed Goertzel and Ben Goertzel, with the assistance of Mildred Goertzel, Victor Goertzel, with original drawings by Gwen Goertzel |aGoertzel, Ted George"
"|aThe chemical basis of the animal body:|ban appendix to Foster's text-book of physiology /|cby A. Sheridan Lea |aLea, Arthur Sheridan,|d1853-1915 |a6th ed"
"|aScience in chains :|bthe crisis of science and scientists in the Soviet Union today /|cMark Popovsky ; translated from the Russian by Paul S. Falla |aPopovskiĭ, Mark Aleksandrovich"
"|aVorschriften zur darstellung chemischer, pharmazeutischer und phytochemischer präparate /|cvon prof. dr. C. A. Rojahn. Herausgeber: die Deutsche apothekerschaft, Akademie für pharmazeutsche fortbildung |aRojahn, Carl August,|d1889-"
"|aGlycerol and the glycols :|bproduction, properties and analyses /|cby James W. Lawrie |aLawrie, James Wright,|d1881-"
"|aAus Leben und Beruf;|bAufsätze, Reden, Vorträge |aHaber, Fritz,|d1868-1934"
"|aChemistry and chemical technology in ancient Mesopotamia /|cMartin Levey |aLevey, Martin"
"|aToxicity of industrial organic solvents.|cSummaries of published work compiled by Ethel Browning under the direction of the Committee on the toxicity of industrial solvents |aBrowning, Ethel"
"|aDie methoden zur herstellung kolloider lösungen anorganischer stoffe.|bEin hand- und hilfsbuch für die chemie und industrie der kolloide|cvon dr. The. Svedberg |aSvedberg, Theodor,|db. 1884"
"|aThe analysis of fuel, gas, water and lubricants,|cby S. W. Parr . |aParr, Samuel Wilson,|d1857-1931 |a4th ed"
"|aLebenserinnerungen,|cvon Ernst von Meyer |aMeyer, Eenst von,|d1847-1916"
"|aElements of chemistry /|cby John Webster |aWebster, John,|dfl. 1808-1816"
"|aThe physical sciences since antiquity /|cedited by Rom Harré"
"|aPolyethylene|c[by] R.A.V. Raff and J.B. Allison |aRaff, R. A. V.|q(Rudolf August Victor),|d1908-"
"|aDrug and specialty formulas;|ba selected collection of tested, modern and practical formulas for medicinal, household, industrial, commercial, veterinary, cosmetic and food specialties,|cby Emil J. Belanger |aBelanger, Emil J"
"|aLaws of physical science :|ba reference book /|cby Edwin F. Northrup |aNorthrup, Edwin F.|q(Edwin Fitch),|d1866-1940"
"|aPhysical chemistry of high polymeric systems,|cby H. Mark ... Translated from the manuscript by K. Sinclair. Revised by J. Edmund Woods ... With 99 illustrations |aMark, H. F.|q(Herman Francis),|d1895-"
"|aEssais de classification hélicoidale des éléments chimiques |aJanet, Charles,|d1849-1932"
"|aCours élémentaire de chimie /|cpar V. Regnault |aRegnault, V.|q(Victor),|d1810-1878 |a3. éd"
"|aThe technical arts and sciences of the ancients,|cby Albert Neuburger, Translated by Henry L. Brose...with 676 illustrations |aNeuburger, Albert,|d1867-"
"|aLa chimie;|best-elle une science française? |aDuhem, Pierre Maurice Marie,|d1861-1916"
"|aThe dyeing industry;|bbeing a third edition of ""Dyeing in Germany and Ameria,""|cby S. H. Higgins |aHiggins, S. H.|q(Sydney Herbert),|d1884- |a3d ed"
"|aThe chemists and the word :|bthe didactic origins of chemistry /|cOwen Hannaway |aHannaway, Owen"
"|aSilicium, Schwefel, Phosphate :|bColloquium der Sektion für Anorganische Chemie der Internationalen Union für Reine und Angewandte Chemie, Münster (Westf.) 2.-6. September 1954. Text der Vorträge und Diskussionen =  Silicon, sulphur, phosphates ; Colloquium of the Section for Inorganic Chemistry of the International Union of Pure an[d] Applied Chemistry, Münster (Westfalen) September 2-6, 1954. Text of the lectures and discussions |aInternational Union of Pure and Applied Chemistry.|bSection for Inorganic Chemistry"
"|aCombustion, flames, and explosions of gases|c[by] Bernard Lewis and Guenther von Elbe |aLewis, Bernard,|d1899- |a2d ed"
"|aAmerican chemical enterprise :|ba perspective on 100 years of innovation to commemorate the centennial of the Society of Chemical Industry (American Section) /|cby Mary Ellen Bowden and John Kenly Smith |aBowden, Mary Ellen"
"|aSolving problems in chemistry :|bwith emphasis on stoichiometry and equilibrium and applications in biological and medical sciences, engineering and economics, and environmental sciences /|cRod O'Connor and Charles Mickey |aO'Connor, Rod,|d1934-"
"|aChemical analysis by X-rays and its applications /by Georg von Hevesy |aHevesy, Georg von,|d1885-1966"
"|aScience since 1500 :|ba short history of mathematics, physics, chemistry, biology /|cby H.T. Pledge |aPledge, Humphrey Thomas,|d1903-1960"
"|aIndicators :|btheir use in quantitative analysis and in the colorimetric determination of hydrogen-ion concentration /|cby I.M. Kolthoff |aKolthoff, I. M.|q(Izaak Maurits),|d1894- |aAn authorized translation based upon the second German ed., rev. and enl. /|bby N. Howell Furman"
"|aThe spirit of chemistry;|ban introduction to chemistry for students of the liberal arts,|cby Alexander Findlay |aFindlay, Alexander,|d1874-"
"|aDissociation energies and spectra of diatomic molecules |aGaydon, A. G.|q(Alfred Gordon)"
"|aDie geheimsymbole der alchymie.|barzneikunde und astrologie des mittelalters, eine zusammenstellung der von den mystikern und alchymisten gebrauchten geheimen zeichenschrift, nebst einem kurzgefassten geheimwissenschaftlichen lexikon |aGessmann, Gustav Wilhelm,|d1860- |a2. durchgesehene & ergänzte aufl"
"|aGlasinstrumentenkunde.."
"|aThe alchemist in life, literature and art /|cJohn Read |aRead, John,|d1884-1963"
"|aIntroduction to chemical preparations.|bA guide in the practical teaching of inorganic chemistry.|cBy Professor Dr. Erdmann. Authorized translation from the second German edition by Frederick L. Dunlap |aErdmann, Hugo,|d1862-1910 |a1st ed. 1st thousand"
"|aGraphic representations of the periodic system during one hundred years|c[by] Edward G. Mazurs |aMazurs, Edward G |a[Rev. 2d ed.]"
"|aIntroduction to chemical thermodynamics |aSteiner, Luke E.|q(Luke Eby),|d1900- |a2d ed"
"|aChromatographic adsorption analysis,|cby Harold H. Strain ... with 37 illustrations |aStrain, Harold H.|q(Harold Henry),|d1904-"
"|aIntroductory chemistry|c[by] Edmund J. Leddy [and] Don Roach |aLeddy, Edmund J"
"|aMechanisms of reactions at carbon-carbon double bonds /|cCharles C. Price |aPrice, Charles C.|q(Charles Coale),|d1913-"
"|aDictionary of chemistry :|bcontaining the principles and modern theories of the science : with its application to the arts, manufactures, and medicine : for the use of seminaries of learning and private students /|ctranslated from Le dictionnaire de chimie, approuvé par Vauquelin ; including the most recent discoveries and doctrines of the science ; with additions and notes by Mrs. Almira H. Lincoln |aVauquelin, Louis Nicolas,|d1763-1829"
"|aA history of the Worshipful Society of Apothecaries of London /|cabstracted and arranged from the manuscript notes of the late Cecil Wall by the late H. Charles Cameron ; revised, annotated, and edited by E. Ashworth Underwood. -- |aWall, Cecil,|d1869-1947"
"|aContribution à l'étude da la diazoréaction d'Ehrlich ...|cPar mlle. Zofia Michalowska . |aMichalowska, Zofia"
"|aChymisches Wörterbuch :|boder, Allgereine Begriffe der Chymie : nach alphabetischer Ordnung /|caus dem Französischen nach der zweyten Ausgabe übersetzt und mit Anmerkungen und Zusätzen vermehrt von Johann Gottfried Leonhardi |aMacquer, Pierre Joseph,|d1718-1784 |a2. verb. und verm. Ausg"
"|aMen and moments in the history of science |aEvans, Herbert McLean,|d1882-"
"|aA French-English dictionary for chemists /|cby Austin M. Patterson |aPatterson, Austin M.|q(Austin McDowell),|d1876-1956"
"|aAbhandlungen zur kristallographie.|cVon Quintino Sella. Hrsg. von F. Zambonini ... Mit 8 figuren im text |aSella, Quintino,|d1827-1884"
"|aThe story of modern science |aWilliams, Henry Smith,|d1863-1943"
"|aDistillation /|cby Joseph Reilly ; with foreword by Professor Sydney Young |aReilly, Joseph,|d1889-"
"|aAdvances in radiochemistry and in the methods of producing radioelements by neutron irradiation |aBroda, Engelbert"
